"WordCount","SentimentGI","NegativityGI","PositivityGI","SentimentHE","NegativityHE","PositivityHE","SentimentLM","NegativityLM","PositivityLM","RatioUncertaintyLM","SentimentQDAP","NegativityQDAP","PositivityQDAP","LCpos","LCneg","LC","Vader"
97,0.0824742268041237,0.123711340206186,0.206185567010309,0.0103092783505155,0.0103092783505155,0.0206185567010309,-0.0206185567010309,0.0721649484536082,0.0515463917525773,0,0.134020618556701,0.0618556701030928,0.195876288659794,10,11,-0.0103092783505155,0.142
24,0,0.125,0.125,0,0,0,-0.0833333333333333,0.0833333333333333,0,0.0416666666666667,0.125,0.125,0.25,4,2,0.0833333333333333,0.196
12,0.25,0.0833333333333333,0.333333333333333,0.0833333333333333,0,0.0833333333333333,0,0,0,0,0,0.0833333333333333,0.0833333333333333,1,2,-0.0833333333333333,0.153
80,0.1125,0.1375,0.25,-0.0125,0.0125,0,-0.075,0.1,0.025,0.025,0.1375,0.1125,0.25,7,6,0.0125,0.55
21,0.0476190476190476,0.0952380952380952,0.142857142857143,0,0,0,0,0.0476190476190476,0.0476190476190476,0,-0.0476190476190476,0.142857142857143,0.0952380952380952,1,3,-0.0952380952380952,-0.931
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0.0121951219512195,0.0487804878048781,0.0609756097560976,0,0,0,0,0,0,0.0487804878048781,0.0487804878048781,0.024390243902439,0.0731707317073171,7,0,0.0853658536585366,0.848
6,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0,1,-0.166666666666667,-0.612
20,0.2,0.05,0.25,0,0,0,0,0,0,0,0,0.2,0.2,0,2,-0.1,-0.875
9,0,0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0,-0.111111111111111,0.111111111111111,0,0,-0.111111111111111,0.222222222222222,0.111111111111111,1,2,-0.111111111111111,-0.67
13,0,0.153846153846154,0.153846153846154,0,0,0,-0.0769230769230769,0.0769230769230769,0,0,-0.0769230769230769,0.153846153846154,0.0769230769230769,1,3,-0.153846153846154,-0.035
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.2,0.1,0.3,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,3,1,0.2,-0.587
24,0,0.125,0.125,0.0416666666666667,0,0.0416666666666667,-0.208333333333333,0.208333333333333,0,0,-0.0416666666666667,0.166666666666667,0.125,3,4,-0.0416666666666667,-0.772
21,0.285714285714286,0,0.285714285714286,0,0,0,-0.0476190476190476,0.0476190476190476,0,0.0476190476190476,0.142857142857143,0.0952380952380952,0.238095238095238,3,2,0.0476190476190476,-0.477
9,0,0.222222222222222,0.222222222222222,0,0,0,0.111111111111111,0,0.111111111111111,0,0.111111111111111,0.222222222222222,0.333333333333333,0,3,-0.333333333333333,-0.678
23,0.260869565217391,0.0434782608695652,0.304347826086957,0.0434782608695652,0,0.0434782608695652,0.0434782608695652,0,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.173913043478261,2,1,0.0434782608695652,0.881
5,-0.2,0.2,0,0,0,0,0,0,0,0,-0.4,0.4,0,0,2,-0.4,-0.859
7,0.285714285714286,0,0.285714285714286,0,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0.285714285714286,1,0,0.142857142857143,0.361
5,0,0.2,0.2,0,0,0,0,0,0,0,-0.2,0.2,0,1,1,0,-0.511
